film_id,title,rental_duration,rental_rate,category_id,name
132,CHAINSAW UPTOWN,6,0.99,14,Sci-Fi
133,CHAMBER ITALIAN,7,4.99,12,Music
134,CHAMPION FLATLINERS,4,4.99,2,Animation
135,CHANCE RESURRECTION,3,2.99,15,Sports
136,CHAPLIN LICENSE,7,2.99,13,New
137,CHARADE DUFFEL,3,2.99,14,Sci-Fi
138,CHARIOTS CONSPIRACY,5,2.99,14,Sci-Fi
139,CHASING FIGHT,7,4.99,8,Family
140,CHEAPER CLYDE,6,0.99,14,Sci-Fi
141,CHICAGO NORTH,6,4.99,10,Games
142,CHICKEN HELLFIGHTERS,3,0.99,6,Documentary
143,CHILL LUCK,6,0.99,7,Drama
144,CHINATOWN GLADIATOR,7,4.99,13,New
145,CHISUM BEHAVIOR,5,4.99,8,Family
146,CHITTY LOCK,6,2.99,7,Drama
147,CHOCOLAT HARRY,5,0.99,8,Family
148,CHOCOLATE DUCK,3,2.99,9,Foreign
149,CHRISTMAS MOONSHINE,7,0.99,3,Children
150,CIDER DESIRE,7,2.99,6,Documentary
151,CINCINATTI WHISPERER,5,4.99,14,Sci-Fi
152,CIRCUS YOUTH,5,2.99,3,Children
153,CITIZEN SHREK,7,0.99,14,Sci-Fi
154,CLASH FREDDY,6,2.99,2,Animation
155,CLEOPATRA DEVIL,6,0.99,13,New
156,CLERKS ANGELS,3,4.99,6,Documentary
157,CLOCKWORK PARADISE,7,0.99,3,Children
158,CLONES PINOCCHIO,6,2.99,12,Music
159,CLOSER BANG,5,4.99,5,Comedy
160,CLUB GRAFFITI,4,0.99,2,Animation
161,CLUE GRAIL,6,4.99,12,Music
162,CLUELESS BUCKET,4,2.99,1,Action
163,CLYDE THEORY,4,0.99,13,New
164,COAST RAINBOW,4,0.99,6,Documentary
165,COLDBLOODED DARLING,7,4.99,14,Sci-Fi
166,COLOR PHILADELPHIA,6,2.99,4,Classics
167,COMA HEAD,6,4.99,16,Travel
168,COMANCHEROS ENEMY,5,0.99,3,Children
169,COMFORTS RUSH,3,2.99,16,Travel
170,COMMAND DARLING,5,4.99,9,Foreign
171,COMMANDMENTS EXPRESS,6,4.99,11,Horror
172,CONEHEADS SMOOCHY,7,4.99,7,Drama
173,CONFESSIONS MAGUIRE,7,4.99,7,Drama
174,CONFIDENTIAL INTERVIEW,6,4.99,12,Music
175,CONFUSED CANDLES,3,2.99,8,Family
176,CONGENIALITY QUEST,6,0.99,15,Sports
177,CONNECTICUT TRAMP,4,4.99,14,Sci-Fi
178,CONNECTION MICROCOSMOS,6,0.99,5,Comedy
179,CONQUERER NUTS,4,4.99,7,Drama
180,CONSPIRACY SPIRIT,4,2.99,4,Classics
181,CONTACT ANONYMOUS,7,2.99,16,Travel
182,CONTROL ANTHEM,7,4.99,5,Comedy
183,CONVERSATION DOWNHILL,4,4.99,8,Family
184,CORE SUIT,3,2.99,4,Classics
185,COWBOY DOOM,3,2.99,9,Foreign
186,CRAFT OUTFIELD,6,0.99,7,Drama
187,CRANES RESERVOIR,5,2.99,15,Sports
188,CRAZY HOME,7,2.99,5,Comedy
189,CREATURES SHAKESPEARE,3,0.99,10,Games
190,CREEPERS KANE,5,4.99,4,Classics
191,CROOKED FROGMEN,6,0.99,3,Children
192,CROSSING DIVORCE,4,4.99,9,Foreign
193,CROSSROADS CASUALTIES,5,2.99,2,Animation
194,CROW GREASE,6,0.99,1,Action
195,CROWDS TELEMARK,3,4.99,14,Sci-Fi
196,CRUELTY UNFORGIVEN,7,0.99,4,Classics
197,CRUSADE HONEY,4,2.99,15,Sports
198,CRYSTAL BREAKING,6,2.99,9,Foreign
199,CUPBOARD SINNERS,4,2.99,6,Documentary
200,CURTAIN VIDEOTAPE,7,0.99,10,Games
201,CYCLONE FAMILY,7,2.99,9,Foreign
202,DADDY PITTSBURGH,5,4.99,5,Comedy
203,DAISY MENAGERIE,5,4.99,14,Sci-Fi
204,DALMATIONS SWEDEN,4,0.99,7,Drama
205,DANCES NONE,3,0.99,1,Action
206,DANCING FEVER,6,0.99,6,Documentary
207,DANGEROUS UPTOWN,7,4.99,9,Foreign
208,DARES PLUTO,7,2.99,2,Animation
209,DARKNESS WAR,6,2.99,7,Drama
210,DARKO DORADO,3,4.99,1,Action
211,DARLING BREAKING,7,4.99,10,Games
212,DARN FORRESTER,7,4.99,1,Action
213,DATE SPEED,4,0.99,8,Family
214,DAUGHTER MADIGAN,3,4.99,3,Children
215,DAWN POND,4,4.99,10,Games
216,DAY UNFAITHFUL,3,4.99,13,New
217,DAZED PUNK,6,4.99,10,Games
218,DECEIVER BETRAYED,7,0.99,7,Drama
219,DEEP CRUSADE,6,4.99,6,Documentary
220,DEER VIRGINIAN,7,2.99,12,Music
221,DELIVERANCE MULHOLLAND,4,0.99,6,Documentary
222,DESERT POSEIDON,4,4.99,11,Horror
223,DESIRE ALIEN,7,2.99,2,Animation
224,DESPERATE TRAINSPOTTING,7,4.99,16,Travel
225,DESTINATION JERK,3,0.99,7,Drama
226,DESTINY SATURDAY,4,4.99,13,New
227,DETAILS PACKER,4,4.99,10,Games
228,DETECTIVE VISION,4,0.99,4,Classics
229,DEVIL DESIRE,6,4.99,1,Action
230,DIARY PANIC,7,2.99,7,Drama
231,DINOSAUR SECRETARY,7,2.99,8,Family
232,DIRTY ACE,7,2.99,10,Games
233,DISCIPLE MOTHER,3,0.99,16,Travel
234,DISTURBING SCARFACE,6,2.99,14,Sci-Fi
235,DIVIDE MONSTER,6,2.99,14,Sci-Fi
236,DIVINE RESURRECTION,4,2.99,10,Games
237,DIVORCE SHINING,3,2.99,15,Sports
238,DOCTOR GRAIL,4,2.99,3,Children
239,DOGMA FAMILY,5,4.99,2,Animation
240,DOLLS RAGE,7,2.99,14,Sci-Fi
241,DONNIE ALLEY,4,0.99,2,Animation
242,DOOM DANCING,4,0.99,5,Comedy
243,DOORS PRESIDENT,3,4.99,2,Animation
244,DORADO NOTTING,5,4.99,12,Music
245,DOUBLE WRATH,4,0.99,2,Animation
246,DOUBTFIRE LABYRINTH,5,4.99,9,Foreign
247,DOWNHILL ENOUGH,3,0.99,5,Comedy
248,DOZEN LION,6,4.99,6,Documentary
249,DRACULA CRYSTAL,7,0.99,4,Classics
250,DRAGON SQUAD,4,0.99,1,Action
251,DRAGONFLY STRANGERS,6,4.99,13,New
252,DREAM PICKUP,6,2.99,1,Action
253,DRIFTER COMMANDMENTS,5,4.99,1,Action
254,DRIVER ANNIE,4,2.99,15,Sports
255,DRIVING POLISH,6,4.99,12,Music
256,DROP WATERFRONT,6,4.99,15,Sports
257,DRUMLINE CYCLONE,3,0.99,16,Travel
258,DRUMS DYNAMITE,6,0.99,11,Horror
259,DUCK RACER,4,2.99,2,Animation
260,DUDE BLINDNESS,3,4.99,15,Sports
261,DUFFEL APOCALYPSE,5,0.99,6,Documentary
262,DUMBO LUST,5,0.99,8,Family
263,DURHAM PANKY,6,4.99,15,Sports
264,DWARFS ALTER,6,2.99,10,Games
265,DYING MAKER,5,4.99,5,Comedy
266,DYNAMITE TARZAN,4,0.99,4,Classics
267,EAGLES PANKY,4,4.99,13,New
268,EARLY HOME,6,4.99,2,Animation
269,EARRING INSTINCT,3,0.99,8,Family
270,EARTH VISION,7,0.99,13,New
271,EASY GLADIATOR,5,4.99,1,Action
272,EDGE KISSING,5,4.99,7,Drama
273,EFFECT GLADIATOR,6,0.99,8,Family
274,EGG IGBY,4,2.99,6,Documentary
275,EGYPT TENENBAUMS,3,0.99,11,Horror
276,ELEMENT FREDDY,6,4.99,5,Comedy
277,ELEPHANT TROJAN,4,4.99,11,Horror
278,ELF MURDER,4,4.99,12,Music
279,ELIZABETH SHANE,7,4.99,15,Sports
280,EMPIRE MALKOVICH,7,0.99,3,Children
281,ENCINO ELF,6,0.99,10,Games
282,ENCOUNTERS CURTAIN,5,0.99,7,Drama
283,ENDING CROWDS,6,0.99,13,New
284,ENEMY ODDS,5,4.99,12,Music
285,ENGLISH BULWORTH,3,0.99,14,Sci-Fi
286,ENOUGH RAGING,7,2.99,16,Travel
287,ENTRAPMENT SATISFACTION,5,0.99,1,Action
288,ESCAPE METROPOLIS,7,2.99,16,Travel
289,EVE RESURRECTION,5,4.99,13,New
290,EVERYONE CRAFT,4,0.99,9,Foreign
291,EVOLUTION ALTER,5,0.99,15,Sports
292,EXCITEMENT EVE,3,0.99,1,Action
293,EXORCIST STING,6,2.99,15,Sports
294,EXPECATIONS NATURAL,5,4.99,16,Travel
295,EXPENDABLE STALLION,3,0.99,6,Documentary
296,EXPRESS LONELY,5,2.99,14,Sci-Fi
297,EXTRAORDINARY CONQUERER,6,2.99,4,Classics
298,EYES DRIVING,4,2.99,14,Sci-Fi
299,FACTORY DRAGON,4,0.99,16,Travel
300,FALCON VOLUME,5,4.99,2,Animation
301,FAMILY SWEET,4,0.99,11,Horror
302,FANTASIA PARK,5,2.99,10,Games
303,FANTASY TROOPERS,6,0.99,1,Action
304,FARGO GANDHI,3,2.99,3,Children
305,FATAL HAUNTED,6,2.99,13,New
306,FEATHERS METAL,3,0.99,10,Games
307,FELLOWSHIP AUTUMN,6,4.99,16,Travel
308,FERRIS MOTHER,3,2.99,5,Comedy
309,FEUD FROGMEN,6,0.99,8,Family
310,FEVER EMPIRE,5,4.99,10,Games
311,FICTION CHRISTMAS,4,0.99,9,Foreign
312,FIDDLER LOST,4,4.99,14,Sci-Fi
313,FIDELITY DEVIL,5,4.99,11,Horror
314,FIGHT JAWBREAKER,3,0.99,2,Animation
315,FINDING ANACONDA,4,0.99,8,Family
316,FIRE WOLVES,5,4.99,10,Games
317,FIREBALL PHILADELPHIA,4,0.99,5,Comedy
318,FIREHOUSE VIETNAM,7,0.99,1,Action
319,FISH OPUS,4,2.99,14,Sci-Fi
320,FLAMINGOS CONNECTICUT,4,4.99,13,New
321,FLASH WARS,3,4.99,13,New
322,FLATLINERS KILLER,5,2.99,15,Sports
323,FLIGHT LIES,7,4.99,15,Sports
324,FLINTSTONES HAPPINESS,3,4.99,5,Comedy
325,FLOATS GARDEN,6,2.99,2,Animation
326,FLYING HOOK,6,2.99,2,Animation
327,FOOL MOCKINGBIRD,3,4.99,1,Action
328,FOREVER CANDIDATE,7,2.99,3,Children
329,FORREST SONS,4,2.99,1,Action
330,FORRESTER COMANCHEROS,7,4.99,2,Animation
331,FORWARD TEMPLE,6,2.99,10,Games
332,FRANKENSTEIN STRANGER,7,0.99,5,Comedy
333,FREAKY POCUS,7,2.99,12,Music
334,FREDDY STORM,6,4.99,11,Horror
335,FREEDOM CLEOPATRA,5,0.99,5,Comedy
336,FRENCH HOLIDAY,5,4.99,6,Documentary
337,FRIDA SLIPPER,6,2.99,9,Foreign
338,FRISCO FORREST,6,4.99,14,Sci-Fi
339,FROGMEN BREAKING,5,0.99,16,Travel
340,FRONTIER CABIN,6,4.99,13,New
341,FROST HEAD,5,0.99,4,Classics
342,FUGITIVE MAGUIRE,7,4.99,16,Travel
343,FULL FLATLINERS,6,2.99,3,Children
344,FURY MURDER,3,0.99,3,Children
345,GABLES METROPOLIS,3,0.99,8,Family
346,GALAXY SWEETHEARTS,4,4.99,4,Classics
347,GAMES BOWFINGER,7,4.99,16,Travel
348,GANDHI KWAI,7,0.99,8,Family
349,GANGS PRIDE,4,2.99,2,Animation
350,GARDEN ISLAND,3,4.99,14,Sci-Fi
351,GASLIGHT CRUSADE,4,2.99,11,Horror
352,GATHERING CALENDAR,4,0.99,10,Games
353,GENTLEMEN STAGE,6,2.99,9,Foreign
354,GHOST GROUNDHOG,6,4.99,3,Children
355,GHOSTBUSTERS ELF,7,0.99,2,Animation
356,GIANT TROOPERS,5,2.99,3,Children
357,GILBERT PELICAN,7,0.99,4,Classics
358,GILMORE BOILED,5,0.99,4,Classics
359,GLADIATOR WESTWARD,6,4.99,8,Family
360,GLASS DYING,4,0.99,1,Action
361,GLEAMING JAWBREAKER,5,2.99,15,Sports
362,GLORY TRACY,7,2.99,10,Games
363,GO PURPLE,3,0.99,12,Music
364,GODFATHER DIARY,3,2.99,13,New
365,GOLD RIVER,4,4.99,5,Comedy
366,GOLDFINGER SENSIBILITY,3,0.99,7,Drama
367,GOLDMINE TYCOON,6,0.99,14,Sci-Fi
368,GONE TROUBLE,7,2.99,7,Drama
369,GOODFELLAS SALUTE,4,4.99,14,Sci-Fi
370,GORGEOUS BINGO,4,2.99,3,Children
371,GOSFORD DONNIE,5,4.99,1,Action
372,GRACELAND DYNAMITE,5,4.99,15,Sports
373,GRADUATE LORD,7,2.99,3,Children
374,GRAFFITI LOVE,3,0.99,14,Sci-Fi
375,GRAIL FRANKENSTEIN,4,2.99,1,Action
376,GRAPES FURY,4,0.99,9,Foreign
377,GREASE YOUTH,7,0.99,8,Family
378,GREATEST NORTH,5,2.99,12,Music
379,GREEDY ROOTS,7,0.99,7,Drama
380,GREEK EVERYONE,7,2.99,9,Foreign
381,GRINCH MASSAGE,7,4.99,10,Games
382,GRIT CLOCKWORK,3,0.99,10,Games
383,GROOVE FICTION,6,0.99,15,Sports
384,GROSSE WONDERFUL,5,4.99,12,Music
385,GROUNDHOG UNCUT,6,4.99,5,Comedy
386,GUMP DATE,3,4.99,16,Travel
387,GUN BONNIE,7,0.99,10,Games
388,GUNFIGHT MOON,5,0.99,5,Comedy
389,GUNFIGHTER MUSSOLINI,3,2.99,15,Sports
390,GUYS FALCON,4,4.99,14,Sci-Fi
391,HALF OUTFIELD,6,2.99,8,Family
392,HALL CASSIDY,5,4.99,3,Children
393,HALLOWEEN NUTS,6,2.99,6,Documentary
394,HAMLET WISDOM,7,2.99,14,Sci-Fi
395,HANDICAP BOONDOCK,4,0.99,1,Action
396,HANGING DEEP,5,4.99,7,Drama
397,HANKY OCTOBER,5,2.99,14,Sci-Fi
398,HANOVER GALAXY,5,4.99,12,Music
399,HAPPINESS UNITED,6,2.99,9,Foreign
400,HARDLY ROBBERS,7,2.99,6,Documentary
401,HAROLD FRENCH,6,0.99,7,Drama
402,HARPER DYING,3,0.99,2,Animation
403,HARRY IDAHO,5,4.99,7,Drama
404,HATE HANDICAP,4,0.99,5,Comedy
405,HAUNTED ANTITRUST,6,4.99,16,Travel
406,HAUNTING PIANIST,5,0.99,10,Games
407,HAWK CHILL,5,0.99,6,Documentary
408,HEAD STRANGER,4,4.99,10,Games
409,HEARTBREAKERS BRIGHT,3,4.99,3,Children
410,HEAVEN FREEDOM,7,2.99,5,Comedy
411,HEAVENLY GUN,5,4.99,12,Music
412,HEAVYWEIGHTS BEAST,6,4.99,6,Documentary
413,HEDWIG ALTER,7,2.99,5,Comedy
414,HELLFIGHTERS SIERRA,3,2.99,9,Foreign
415,HIGH ENCINO,3,2.99,11,Horror
416,HIGHBALL POTTER,6,0.99,9,Foreign
417,HILLS NEIGHBORS,5,0.99,1,Action
418,HOBBIT ALIEN,5,0.99,7,Drama
419,HOCUS FRIDA,4,2.99,8,Family
420,HOLES BRANNIGAN,7,4.99,15,Sports
421,HOLIDAY GAMES,7,4.99,9,Foreign
422,HOLLOW JEOPARDY,7,4.99,14,Sci-Fi
423,HOLLYWOOD ANONYMOUS,7,0.99,3,Children
424,HOLOCAUST HIGHBALL,6,0.99,3,Children
425,HOLY TADPOLE,6,0.99,4,Classics
426,HOME PITY,7,4.99,12,Music
427,HOMEWARD CIDER,5,0.99,6,Documentary
428,HOMICIDE PEACH,6,2.99,8,Family
429,HONEY TIES,3,0.99,15,Sports
430,HOOK CHARIOTS,7,0.99,2,Animation
431,HOOSIERS BIRDCAGE,3,2.99,9,Foreign
432,HOPE TOOTSIE,4,2.99,4,Classics
433,HORN WORKING,4,2.99,2,Animation
434,HORROR REIGN,3,0.99,16,Travel
435,HOTEL HAPPINESS,6,4.99,9,Foreign
436,HOURS RAGE,4,0.99,13,New
437,HOUSE DYNAMITE,7,2.99,8,Family
438,HUMAN GRAFFITI,3,2.99,10,Games
439,HUNCHBACK IMPOSSIBLE,4,4.99,7,Drama
440,HUNGER ROOF,6,0.99,9,Foreign
441,HUNTER ALTER,5,2.99,6,Documentary
442,HUNTING MUSKETEERS,6,2.99,8,Family
443,HURRICANE AFFAIR,6,2.99,5,Comedy
444,HUSTLER PARTY,3,4.99,5,Comedy
445,HYDE DOCTOR,5,2.99,4,Classics
446,HYSTERICAL GRAIL,5,4.99,15,Sports
447,ICE CROSSING,5,2.99,10,Games
448,IDAHO LOVE,3,2.99,13,New
449,IDENTITY LOVER,4,2.99,14,Sci-Fi
450,IDOLS SNATCHERS,5,2.99,3,Children
451,IGBY MAKER,7,4.99,16,Travel
452,ILLUSION AMELIE,4,0.99,9,Foreign
453,IMAGE PRINCESS,3,2.99,15,Sports
454,IMPACT ALADDIN,6,0.99,12,Music
455,IMPOSSIBLE PREJUDICE,7,4.99,9,Foreign
456,INCH JET,6,4.99,2,Animation
457,INDEPENDENCE HOTEL,5,0.99,6,Documentary
458,INDIAN LOVE,4,0.99,8,Family
459,INFORMER DOUBLE,4,4.99,9,Foreign
460,INNOCENT USUAL,3,4.99,9,Foreign
461,INSECTS STONE,3,0.99,2,Animation
462,INSIDER ARIZONA,5,2.99,12,Music
463,INSTINCT AIRPORT,4,2.99,15,Sports
464,INTENTIONS EMPIRE,3,2.99,2,Animation
465,INTERVIEW LIAISONS,4,4.99,13,New
466,INTOLERABLE INTENTIONS,6,4.99,6,Documentary
467,INTRIGUE WORST,6,0.99,9,Foreign
468,INVASION CYCLONE,5,2.99,3,Children
469,IRON MOON,7,4.99,4,Classics
470,ISHTAR ROCKETEER,4,4.99,2,Animation
471,ISLAND EXORCIST,7,2.99,4,Classics
472,ITALIAN AFRICAN,3,4.99,16,Travel
473,JACKET FRISCO,5,2.99,7,Drama
474,JADE BUNCH,6,2.99,15,Sports
475,JAPANESE RUN,6,0.99,11,Horror
476,JASON TRAP,5,2.99,8,Family
477,JAWBREAKER BROOKLYN,5,0.99,12,Music
478,JAWS HARRY,4,2.99,5,Comedy
479,JEDI BENEATH,7,0.99,8,Family
480,JEEPERS WEDDING,3,2.99,4,Classics
481,JEKYLL FROGMEN,4,2.99,13,New
482,JEOPARDY ENCINO,3,0.99,4,Classics
483,JERICHO MULAN,3,2.99,10,Games
484,JERK PAYCHECK,3,2.99,4,Classics
485,JERSEY SASSY,6,4.99,3,Children
486,JET NEIGHBORS,7,4.99,9,Foreign
487,JINGLE SAGEBRUSH,6,4.99,4,Classics
488,JOON NORTHWEST,3,0.99,15,Sports
489,JUGGLER HARDLY,4,0.99,2,Animation
490,JUMANJI BLADE,4,2.99,13,New
491,JUMPING WRATH,4,0.99,3,Children
492,JUNGLE CLOSER,6,0.99,13,New
493,KANE EXORCIST,5,0.99,9,Foreign
494,KARATE MOON,4,0.99,11,Horror
495,KENTUCKIAN GIANT,5,2.99,11,Horror
496,KICK SAVANNAH,3,0.99,16,Travel
497,KILL BROTHERHOOD,4,0.99,6,Documentary
498,KILLER INNOCENT,7,2.99,8,Family
499,KING EVOLUTION,3,4.99,8,Family
500,KISS GLORY,5,4.99,9,Foreign
501,KISSING DOLLS,3,4.99,1,Action
502,KNOCK WARLOCK,4,2.99,5,Comedy
503,KRAMER CHOCOLATE,3,2.99,15,Sports
504,KWAI HOMEWARD,5,0.99,7,Drama
505,LABYRINTH LEAGUE,6,2.99,3,Children
506,LADY STAGE,4,4.99,11,Horror
507,LADYBUGS ARMAGEDDON,4,0.99,10,Games
508,LAMBS CINCINATTI,6,4.99,10,Games
509,LANGUAGE COWBOY,5,0.99,3,Children
510,LAWLESS VISION,6,4.99,2,Animation
511,LAWRENCE LOVE,7,0.99,1,Action
512,LEAGUE HELLFIGHTERS,5,4.99,4,Classics
513,LEATHERNECKS DWARFS,6,2.99,16,Travel
514,LEBOWSKI SOLDIERS,6,2.99,7,Drama
515,LEGALLY SECRETARY,7,4.99,3,Children
516,LEGEND JEDI,7,0.99,12,Music
517,LESSON CLEOPATRA,3,0.99,15,Sports
518,LIAISONS SWEET,5,4.99,16,Travel
519,LIBERTY MAGNIFICENT,3,2.99,15,Sports
520,LICENSE WEEKEND,7,2.99,14,Sci-Fi
521,LIES TREATMENT,7,4.99,7,Drama
522,LIFE TWISTED,4,2.99,5,Comedy
523,LIGHTS DEER,7,0.99,4,Classics
524,LION UNCUT,6,0.99,5,Comedy
525,LOATHING LEGALLY,4,0.99,4,Classics
526,LOCK REAR,7,2.99,16,Travel
527,LOLA AGENT,4,4.99,11,Horror
528,LOLITA WORLD,4,2.99,8,Family
529,LONELY ELEPHANT,3,2.99,5,Comedy
530,LORD ARIZONA,5,2.99,1,Action
531,LOSE INCH,3,0.99,9,Foreign
532,LOSER HUSTLER,5,4.99,15,Sports
533,LOST BIRD,4,2.99,9,Foreign
534,LOUISIANA HARRY,5,0.99,8,Family
535,LOVE SUICIDES,6,0.99,11,Horror
536,LOVELY JINGLE,3,2.99,4,Classics
537,LOVER TRUMAN,3,2.99,4,Classics
